"tel","fax","fiokKod","megjegyzes","openingHours__001","openingHours__002","openingHours__003","openingHours__004","openingHours__005","openingHours__006","openingHours__007","specialServices__001","specialServices__002","specialServices__003","specialServices__004","address","type","baliInfo__terheltseg","baliInfo__szoveg","baliInfo__fiokKod","servicesCorp__001","servicesCorp__002","servicesCorp__003","servicesCorp__004","servicesCorp__005","servicesCorp__006","servicesCorp__007","servicesCorp__008","servicesCorp__009","servicesCorp__010","servicesCorp__011","servicesCorp__012","servicesCorp__013","servicesPub__001","servicesPub__002","servicesPub__003","servicesPub__004","servicesPub__005","servicesPub__006","servicesPub__007","servicesPub__008","servicesPub__009","servicesPub__010","servicesPub__011","servicesPub__012","servicesPub__013","servicesPub__014","servicesPub__015","servicesPub__016","zipCode","town","lat","lng"
"(1) 3666-388","(1) 373-8473","1301","Forgalmazott valuták: EUR USD ","7:45 - 18:00","7:45 - 17:00","7:45 - 17:00","7:45 - 17:00","7:45 - 16:00","","","Akadálymentes bankfiók","Speciálisan nyitva tartó fiók","Gyermekbarát bankfiók","Free WiFi","Nyugati tér 9. (Átmenetileg : Bajcsy-Zsilinszky út 74.)","FIOK","null","null","1301","Kisvállalkozások forint számlavezetése, bankkártyák","Kisvállalkozások deviza számlavezetése, bankkártyák","Kisvállalkozások finanszírozása","Közép- és nagyvállalatok számlavezetése, bankkártyák","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","","Forint számlavezetés (folyószámla, bankkártyák, betétek, megtakarítások)","Devizaszámla kezelés, -bankkártyák,  -megtakarítások","Prémium szolgáltatások","Nyugdíjelőtakarékossági számla","Gyámi számlák, betétek","Szabad felhasználású jelzáloghitel","Lakáshitelek","Fogyasztási hitelek (személyi kölcsön, hitelkártya, folyószámlahitel, lombard hitel)","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Groupama biztosítások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","1055","Budapest","47.510841","19.055799"
"(1) 309-5530","(1) 309-5533","1207","Forgalmazott valuták: EUR USD ","9:00 - 18:00","9:00 - 18:00","9:00 - 18:00","9:00 - 18:00","9:00 - 18:00","9:00 - 13:00","","Akadálymentes bankfiók","Speciálisan nyitva tartó fiók","Gyermekbarát bankfiók","Free WiFi","Apor Vilmos tér 11.  ","FIOK","null","null","1207","Kisvállalkozások forint számlavezetése, bankkártyák","Kisvállalkozások deviza számlavezetése, bankkártyák","Közép- és nagyvállalatok számlavezetése, bankkártyák","Társasházi és lakásszövetkezeti szolgáltatások","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Hallássérültek számára - Ajánlott","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","Forint számlavezetés (folyószámla, bankkártyák, betétek, megtakarítások)","Devizaszámla kezelés, -bankkártyák,  -megtakarítások","Prémium szolgáltatások","Nyugdíjelőtakarékossági számla","Szabad felhasználású jelzáloghitel","Lakáshitelek","Fogyasztási hitelek (személyi kölcsön, hitelkártya, folyószámlahitel, lombard hitel)","Privátbanki szolgáltatások","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Groupama biztosítások","Hallássérültek számára - Ajánlott","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","1124","Budapest","47.4912083","19.0121662"
"(1) 3666-388","(1) 373-8401","0502","Forgalmazott valuták: EUR USD ","8:45 - 18:00","8:45 - 17:00","8:45 - 17:00","8:45 - 17:00","8:45 - 16:00","","","Akadálymentes bankfiók","Speciálisan nyitva tartó fiók","Gyermekbarát bankfiók","Free WiFi","Szent István krt. 1.  (A pénztárak a fiókzárás előtt két órával korábban zárnak)","FIOK","null","null","0502","Kisvállalkozások forint számlavezetése, bankkártyák","Kisvállalkozások deviza számlavezetése, bankkártyák","Közép- és nagyvállalatok számlavezetése, bankkártyák","Társasházi és lakásszövetkezeti szolgáltatások","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Hallássérültek számára - Ajánlott","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","Forint számlavezetés (folyószámla, bankkártyák, betétek, megtakarítások)","Devizaszámla kezelés, -bankkártyák,  -megtakarítások","Nyugdíjelőtakarékossági számla","Gyámi számlák, betétek","Szabad felhasználású jelzáloghitel","Lakáshitelek","Fogyasztási hitelek (személyi kölcsön, hitelkártya, folyószámlahitel, lombard hitel)","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Groupama biztosítások","Hallássérültek számára - Ajánlott","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","1055","Budapest","47.512993","19.048088"
"(1) 3666-388","(1) 466-6859","1100","Forgalmazott valuták: EUR HRK USD ","7:45 - 18:00","7:45 - 17:00","7:45 - 17:00","7:45 - 17:00","7:45 - 16:00","","","Akadálymentes bankfiók","Speciálisan nyitva tartó fiók","Gyermekbarát bankfiók","Free WiFi","Bartók Béla út 92-94.  ","FIOK","null","null","1100","Kisvállalkozások forint számlavezetése, bankkártyák","Kisvállalkozások deviza számlavezetése, bankkártyák","Kisvállalkozások finanszírozása","OTP „MFB Pontok"" által kínált hitelek","Közép- és nagyvállalatok számlavezetése, bankkártyák","Közép- és nagyvállalatok finanszírozása","Társasházi és lakásszövetkezeti szolgáltatások","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","Forint számlavezetés (folyószámla, bankkártyák, betétek, megtakarítások)","Devizaszámla kezelés, -bankkártyák,  -megtakarítások","Prémium szolgáltatások","Nyugdíjelőtakarékossági számla","Gyámi számlák, betétek","Szabad felhasználású jelzáloghitel","Lakáshitelek","Fogyasztási hitelek (személyi kölcsön, hitelkártya, folyószámlahitel, lombard hitel)","OTP „MFB Pontok"" által kínált hitelek","Privátbanki szolgáltatások","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Groupama biztosítások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","1115","Budapest","47.474399","19.038004"
"(1) 3666-388","(1) 412-2450","1318","Forgalmazott valuták: EUR USD ","7:45 - 17:00","7:45 - 16:00","7:45 - 16:00","7:45 - 16:00","7:45 - 16:00","","","Akadálymentes bankfiók","Speciálisan nyitva tartó fiók","Gyermekbarát bankfiók","Free WiFi","Váci út 80.  (A pénztárak a fiókzárás előtt két órával korábban zárnak)","FIOK","null","null","1318","Kisvállalkozások forint számlavezetése, bankkártyák","Közép- és nagyvállalatok számlavezetése, bankkártyák","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","","","","Forint számlavezetés (folyószámla, bankkártyák, betétek, megtakarítások)","Nyugdíjelőtakarékossági számla","Szabad felhasználású jelzáloghitel","Lakáshitelek","Fogyasztási hitelek (személyi kölcsön, hitelkártya, folyószámlahitel, lombard hitel)","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Groupama biztosítások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","","","1133","Budapest","47.526698","19.063473"
"(1) 3666-388","(1) 295-5493","1802","","7:45 - 17:00","7:45 - 15:00","7:45 - 15:00","7:45 - 15:00","7:45 - 13:00","","","Speciálisan nyitva tartó fiók","Gyermekbarát bankfiók","Free WiFi","","Vasút utca 48.  ","FIOK","null","null","1802","Kisvállalkozások forint számlavezetése, bankkártyák","Közép- és nagyvállalatok számlavezetése, bankkártyák","Értékpapír szolgáltatások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","","","","","Forint számlavezetés (folyószámla, bankkártyák, betétek, megtakarítások)","Nyugdíjelőtakarékossági számla","Szabad felhasználású jelzáloghitel","Lakáshitelek","Fogyasztási hitelek (személyi kölcsön, hitelkártya, folyószámlahitel, lombard hitel)","Értékpapír szolgáltatások","Groupama biztosítások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","","","","1188","Budapest","47.404262","19.186099"
"(1) 3666-388","(1) 422-3019","1405","Forgalmazott valuták: EUR USD ","7:45 - 17:00","7:45 - 16:00","7:45 - 16:00","7:45 - 16:00","7:45 - 16:00","","","Akadálymentes bankfiók","Speciálisan nyitva tartó fiók","Gyermekbarát bankfiók","Free WiFi","Thököly út 102/b.  ","FIOK","null","null","1405","Kisvállalkozások forint számlavezetése, bankkártyák","Kisvállalkozások deviza számlavezetése, bankkártyák","Közép- és nagyvállalatok számlavezetése, bankkártyák","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","","","Forint számlavezetés (folyószámla, bankkártyák, betétek, megtakarítások)","Devizaszámla kezelés, -bankkártyák,  -megtakarítások","Prémium szolgáltatások","Nyugdíjelőtakarékossági számla","Szabad felhasználású jelzáloghitel","Lakáshitelek","Fogyasztási hitelek (személyi kölcsön, hitelkártya, folyószámlahitel, lombard hitel)","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Groupama biztosítások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","1146","Budapest","47.51114","19.098403"
"(1) 3666-388","(1) 348-7030","1902","Forgalmazott valuták: EUR USD","10:00 - 19:00","10:00 - 19:00","10:00 - 19:00","10:00 - 19:00","10:00 - 19:00","10:00 - 14:00","","Akadálymentes bankfiók","Speciálisan nyitva tartó fiók","Gyermekbarát bankfiók","Free WiFi","Vak Bottyán út 75 a-c (KÖKI Terminál) ","FIOK","null","null","1902","Kisvállalkozások forint számlavezetése, bankkártyák","Társasházi és lakásszövetkezeti szolgáltatások","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Hallássérültek számára - Ajánlott","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","","Forint számlavezetés (folyószámla, bankkártyák, betétek, megtakarítások)","Nyugdíjelőtakarékossági számla","Szabad felhasználású jelzáloghitel","Lakáshitelek","Fogyasztási hitelek (személyi kölcsön, hitelkártya, folyószámlahitel, lombard hitel)","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Groupama biztosítások","Hallássérültek számára - Ajánlott","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","1195","Budapest","47.462839","19.145186"
"(1) 3666-388","(1) 430-2125","0304","","10:00 - 18:00","10:00 - 18:00","10:00 - 18:00","10:00 - 18:00","10:00 - 18:00","10:00 - 14:00","","Akadálymentes bankfiók","Speciálisan nyitva tartó fiók","Gyermekbarát bankfiók","Free WiFi","Bécsi út 154. (EuroCenter) ","FIOK","null","null","0304","Kisvállalkozások forint számlavezetése, bankkártyák","Közép- és nagyvállalatok számlavezetése, bankkártyák","Értékpapír szolgáltatások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","","","","","Forint számlavezetés (folyószámla, bankkártyák, betétek, megtakarítások)","Nyugdíjelőtakarékossági számla","Szabad felhasználású jelzáloghitel","Lakáshitelek","Fogyasztási hitelek (személyi kölcsön, hitelkártya, folyószámlahitel, lombard hitel)","Értékpapír szolgáltatások","Groupama biztosítások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","","","","1032","Budapest","47.545546","19.029409"
"(1) 3666-388","(1) 419-4056","1500","Forgalmazott valuták: EUR HRK USD ","9:00 - 18:00","9:00 - 18:00","9:00 - 18:00","9:00 - 18:00","9:00 - 18:00","","","Akadálymentes bankfiók","Speciálisan nyitva tartó fiók","Gyermekbarát bankfiók","Free WiFi","Szentmihályi út 131.  (Pólus Center) ","FIOK","null","null","1500","Kisvállalkozások forint számlavezetése, bankkártyák","Kisvállalkozások deviza számlavezetése, bankkártyák","Kisvállalkozások finanszírozása","Közép- és nagyvállalatok számlavezetése, bankkártyák","Társasházi és lakásszövetkezeti szolgáltatások","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Vámpénztári szolgáltatás","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","Forint számlavezetés (folyószámla, bankkártyák, betétek, megtakarítások)","Devizaszámla kezelés, -bankkártyák,  -megtakarítások","Prémium szolgáltatások","Nyugdíjelőtakarékossági számla","Gyámi számlák, betétek","Szabad felhasználású jelzáloghitel","Lakáshitelek","Fogyasztási hitelek (személyi kölcsön, hitelkártya, folyószámlahitel, lombard hitel)","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Groupama biztosítások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","1152","Budapest","47.54982","19.13838"
"(1) 3666-388","(1) 253-1705","1700","Forgalmazott valuták: EUR HRK USD ","7:45 - 18:00","7:45 - 17:00","7:45 - 17:00","7:45 - 17:00","7:45 - 16:00","","","Akadálymentes bankfiók","Speciálisan nyitva tartó fiók","Gyermekbarát bankfiók","Free WiFi","Ferihegyi út 93.  ","FIOK","null","null","1700","Kisvállalkozások forint számlavezetése, bankkártyák","Kisvállalkozások deviza számlavezetése, bankkártyák","Kisvállalkozások finanszírozása","OTP „MFB Pontok"" által kínált hitelek","Közép- és nagyvállalatok számlavezetése, bankkártyák","Társasházi és lakásszövetkezeti szolgáltatások","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Vámpénztári szolgáltatás","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","Forint számlavezetés (folyószámla, bankkártyák, betétek, megtakarítások)","Devizaszámla kezelés, -bankkártyák,  -megtakarítások","Prémium szolgáltatások","Nyugdíjelőtakarékossági számla","Gyámi számlák, betétek","Szabad felhasználású jelzáloghitel","Lakáshitelek","Fogyasztási hitelek (személyi kölcsön, hitelkártya, folyószámlahitel, lombard hitel)","OTP „MFB Pontok"" által kínált hitelek","Privátbanki szolgáltatások","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Groupama biztosítások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","1173","Budapest","47.4791509","19.2562647"
"(1) 3666-388","(1) 289-4095","2004","","9:00 - 19:00","9:00 - 19:00","9:00 - 19:00","9:00 - 19:00","9:00 - 19:00","9:00 - 14:00","","Akadálymentes bankfiók","Speciálisan nyitva tartó fiók","Gyermekbarát bankfiók","Free WiFi","Bevásárló utca 2. (Auchan Soroksár) ","FIOK","null","null","2004","Kisvállalkozások forint számlavezetése, bankkártyák","Értékpapír szolgáltatások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","","","","","","Forint számlavezetés (folyószámla, bankkártyák, betétek, megtakarítások)","Nyugdíjelőtakarékossági számla","Szabad felhasználású jelzáloghitel","Lakáshitelek","Fogyasztási hitelek (személyi kölcsön, hitelkártya, folyószámlahitel, lombard hitel)","Értékpapír szolgáltatások","Groupama biztosítások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","","","","1239","Budapest","47.41232","19.161481"
"(1) 3666-388","(1) 479-2059","0703","Forgalmazott valuták: EUR USD ","7:45 - 17:00","7:45 - 15:00","7:45 - 15:00","7:45 - 15:00","7:45 - 15:00","","","Akadálymentes bankfiók","Speciálisan nyitva tartó fiók","Gyermekbarát bankfiók","Free WiFi","Erzsébet krt. 41.  ","FIOK","null","null","0703","Kisvállalkozások forint számlavezetése, bankkártyák","Kisvállalkozások deviza számlavezetése, bankkártyák","Közép- és nagyvállalatok számlavezetése, bankkártyák","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","","","Forint számlavezetés (folyószámla, bankkártyák, betétek, megtakarítások)","Devizaszámla kezelés, -bankkártyák,  -megtakarítások","Nyugdíjelőtakarékossági számla","Gyámi számlák, betétek","Szabad felhasználású jelzáloghitel","Lakáshitelek","Fogyasztási hitelek (személyi kölcsön, hitelkártya, folyószámlahitel, lombard hitel)","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Groupama biztosítások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","1073","Budapest","47.502017","19.067264"
"(1) 3666-388","(1) 3850284","1110","","10:00 - 19:00","10:00 - 19:00","10:00 - 19:00","10:00 - 19:00","10:00 - 19:00","10:00 - 14:00","","Speciálisan nyitva tartó fiók","Gyermekbarát bankfiók","Free WiFi","","Október huszonharmadika  utca 8-10  (Allee) ","FIOK","null","null","1110","Kisvállalkozások forint számlavezetése, bankkártyák","Kisvállalkozások deviza számlavezetése, bankkártyák","Kisvállalkozások finanszírozása","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","","","Forint számlavezetés (folyószámla, bankkártyák, betétek, megtakarítások)","Devizaszámla kezelés, -bankkártyák,  -megtakarítások","Prémium szolgáltatások","Nyugdíjelőtakarékossági számla","Szabad felhasználású jelzáloghitel","Lakáshitelek","Fogyasztási hitelek (személyi kölcsön, hitelkártya, folyószámlahitel, lombard hitel)","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Groupama biztosítások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","1117","Budapest","47.475052","19.049237"
"(1) 3666-388","(1) 237-2049","1303","","7:45 - 17:00","7:45 - 16:00","7:45 - 16:00","7:45 - 16:00","7:45 - 16:00","","","Akadálymentes bankfiók","Speciálisan nyitva tartó fiók","Gyermekbarát bankfiók","Free WiFi","Pozsonyi út 38.  ","FIOK","null","null","1303","Kisvállalkozások forint számlavezetése, bankkártyák","Értékpapír szolgáltatások","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","","","","","","","Forint számlavezetés (folyószámla, bankkártyák, betétek, megtakarítások)","Nyugdíjelőtakarékossági számla","Szabad felhasználású jelzáloghitel","Lakáshitelek","Fogyasztási hitelek (személyi kölcsön, hitelkártya, folyószámlahitel, lombard hitel)","Értékpapír szolgáltatások","Groupama biztosítások","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","","","","","1137","Budapest","47.519174","19.05201"
"(1) 3666-388","(1) 887-0248","1109","Forgalmazott valuták: EUR USD ","9:00 - 19:00","9:00 - 19:00","9:00 - 19:00","9:00 - 19:00","9:00 - 19:00","9:00 - 14:00","","Akadálymentes bankfiók","Speciálisan nyitva tartó fiók","Gyermekbarát bankfiók","Free WiFi","Hunyadi János út 19. (Savoya Park) ","FIOK","null","null","1109","Kisvállalkozások forint számlavezetése, bankkártyák","Kisvállalkozások deviza számlavezetése, bankkártyák","Közép- és nagyvállalatok számlavezetése, bankkártyák","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","","","Forint számlavezetés (folyószámla, bankkártyák, betétek, megtakarítások)","Devizaszámla kezelés, -bankkártyák,  -megtakarítások","Nyugdíjelőtakarékossági számla","Szabad felhasználású jelzáloghitel","Lakáshitelek","Fogyasztási hitelek (személyi kölcsön, hitelkártya, folyószámlahitel, lombard hitel)","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Groupama biztosítások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","","1117","Budapest","47.4353264","19.0413547"
"(1) 3666-388","(1) 441-6976","0606","Csak engedélyezett belépők számára; Forgalmazott valuták: EUR USD ","7:45 - 13:00, 13:25 - 15:30","7:45 - 13:00, 13:25 - 15:30","7:45 - 13:00, 13:25 - 15:30","7:45 - 13:00, 13:25 - 15:30","7:45 - 12:30","","","Akadálymentes bankfiók","Speciálisan nyitva tartó fiók","Gyermekbarát bankfiók","Free WiFi","Széchenyi rkp. 19.  ","FIOK","null","null","0606","Kisvállalkozások deviza számlavezetése, bankkártyák","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Hallássérültek számára - Ajánlott","Mozgáskorlátozottak számára - Ajánlott, részben akadálymentes","Látássérültek számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","","","Forint számlavezetés (folyószámla, bankkártyák, betétek, megtakarítások)","Devizaszámla kezelés, -bankkártyák,  -megtakarítások","Nyugdíjelőtakarékossági számla","Szabad felhasználású jelzáloghitel","Lakáshitelek","Fogyasztási hitelek (személyi kölcsön, hitelkártya, folyószámlahitel, lombard hitel)","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Groupama biztosítások","Hallássérültek számára - Ajánlott","Mozgáskorlátozottak számára - Ajánlott, részben akadálymentes","Látássérültek számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","1054","Budapest","47.51222","19.046562"
"(1) 3666-388","(1) 434-2515","1002","","9:00 - 19:00","9:00 - 19:00","9:00 - 19:00","9:00 - 19:00","9:00 - 19:00","9:00 - 14:00","","Akadálymentes bankfiók","Speciálisan nyitva tartó fiók","Gyermekbarát bankfiók","Free WiFi","Sibrik Miklós utca 30. (Family Center) ","FIOK","null","null","1002","Kisvállalkozások forint számlavezetése, bankkártyák","Közép- és nagyvállalatok számlavezetése, bankkártyák","Értékpapír szolgáltatások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","","","","","Forint számlavezetés (folyószámla, bankkártyák, betétek, megtakarítások)","Nyugdíjelőtakarékossági számla","Szabad felhasználású jelzáloghitel","Lakáshitelek","Fogyasztási hitelek (személyi kölcsön, hitelkártya, folyószámlahitel, lombard hitel)","Értékpapír szolgáltatások","Groupama biztosítások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","","","","1103","Budapest","47.469723","19.157055"
